|tabla_nombre              |columna_nombre  |columna_defecto                                |columna_nulo|columna_tipo_dato          |columna_longitud|columna_descripcion|columna_dominio|
|--------------------------|----------------|-----------------------------------------------|------------|---------------------------|----------------|-------------------|---------------|
|actor                     |last_name       |                                               |NO          |character varying          |45              |                   |               |
|actor                     |first_name      |                                               |NO          |character varying          |45              |                   |               |
|actor                     |last_update     |now()                                          |NO          |timestamp without time zone|                |                   |               |
|actor                     |actor_id        |nextval('actor_actor_id_seq'::regclass)        |NO          |integer                    |32              |                   |               |
|actor_info                |film_info       |                                               |YES         |text                       |                |                   |               |
|actor_info                |last_name       |                                               |YES         |character varying          |45              |                   |               |
|actor_info                |first_name      |                                               |YES         |character varying          |45              |                   |               |
|actor_info                |actor_id        |                                               |YES         |integer                    |32              |                   |               |
|address                   |address_id      |nextval('address_address_id_seq'::regclass)    |NO          |integer                    |32              |                   |               |
|address                   |city_id         |                                               |NO          |smallint                   |16              |                   |               |
|address                   |last_update     |now()                                          |NO          |timestamp without time zone|                |                   |               |
|address                   |address         |                                               |NO          |character varying          |50              |                   |               |
|address                   |address2        |                                               |YES         |character varying          |50              |                   |               |
|address                   |district        |                                               |NO          |character varying          |20              |                   |               |
|address                   |postal_code     |                                               |YES         |character varying          |10              |                   |               |
|address                   |phone           |                                               |NO          |character varying          |20              |                   |               |
|category                  |name            |                                               |NO          |character varying          |25              |                   |               |
|category                  |category_id     |nextval('category_category_id_seq'::regclass)  |NO          |integer                    |32              |                   |               |
|category                  |last_update     |now()                                          |NO          |timestamp without time zone|                |                   |               |
|city                      |country_id      |                                               |NO          |smallint                   |16              |                   |               |
|city                      |last_update     |now()                                          |NO          |timestamp without time zone|                |                   |               |
|city                      |city            |                                               |NO          |character varying          |50              |                   |               |
|city                      |city_id         |nextval('city_city_id_seq'::regclass)          |NO          |integer                    |32              |                   |               |
|country                   |country         |                                               |NO          |character varying          |50              |                   |               |
|country                   |last_update     |now()                                          |NO          |timestamp without time zone|                |                   |               |
|country                   |country_id      |nextval('country_country_id_seq'::regclass)    |NO          |integer                    |32              |                   |               |
|customer                  |last_name       |                                               |NO          |character varying          |45              |                   |               |
|customer                  |email           |                                               |YES         |character varying          |50              |                   |               |
|customer                  |customer_id     |nextval('customer_customer_id_seq'::regclass)  |NO          |integer                    |32              |                   |               |
|customer                  |store_id        |                                               |NO          |smallint                   |16              |                   |               |
|customer                  |address_id      |                                               |NO          |smallint                   |16              |                   |               |
|customer                  |activebool      |true                                           |NO          |boolean                    |                |                   |               |
|customer                  |last_update     |now()                                          |YES         |timestamp without time zone|                |                   |               |
|customer                  |create_date     |('now'::text)::date                            |NO          |date                       |                |                   |               |
|customer                  |active          |                                               |YES         |integer                    |32              |                   |               |
|customer                  |first_name      |                                               |NO          |character varying          |45              |                   |               |
|customer_list             |country         |                                               |YES         |character varying          |50              |                   |               |
